PROCEDIMENTO;RN_alteracao;VIGENCIA;Seg. Odontológica;Seg. Ambulatorial;HCO;HSO;REF;PAC;DUT;SUBGRUPO;GRUPO;CAPITULO
ACONSELHAMENTO GENETICO;;;;AMB;HCO;HSO;REF;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
ATENDIMENTOACOMPANHAMENTO EM HOSPITAL-DIA PSIQUIATRICO COM DIRETRIZ DE UTILIZACAO;;;;;HCO;HSO;REF;;109;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
ATENDIMENTO INTEGRAL AO RECEM-NASCIDO SALA DE PARTO, BERCARIO E UTI;;;;;HCO;;REF;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
ATENDIMENTO MEDICO DO INTENSIVISTA EM UTI GERAL OU PEDIATRICA;;;;;HCO;HSO;REF;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
ATENDIMENTO PEDIATRICO A GESTANTES 3o TRIMESTRE;;;;AMB;HCO;;REF;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
ATIVIDADE EDUCACIONAL PARA PLANEJAMENTO FAMILIAR;;;;AMB;;;REF;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
ATIVIDADE EDUCATIVA EM SAUDE BUCAL;;;OD;;;;;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
ATIVIDADE EDUCATIVA EM ODONTOLOGIA PARA PAIS EOU CUIDADORES DE PACIENTES COM NECESSIDADES ESPECIAIS;;;OD;;;;;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
CONDICIONAMENTO EM ODONTOLOGIA COM DIRETRIZ DE UTILIZACAO;;;OD;;;;;;86;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
ESTABILIZACAO DE PACIENTE POR MEIO DE CONTENCAO FISICA EOU MECANICA;;;OD;;;;;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
CONSULTA DE ACONSELHAMENTO PARA PLANEJAMENTO FAMILIAR;;;;AMB;;;REF;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
CONSULTA COM ENFERMEIRO OBSTETRA OU OBSTETRIZ COM DIRETRIZ DE UTILIZACAO;;;;AMB;HCO;;REF;;135;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
CONSULTAAVALIACAO COM FISIOTERAPEUTA;5412022;01082022;;AMB;;;REF;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
CONSULTA MEDICA;;;;AMB;;;REF;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
CONSULTA ODONTOLOGICA;;;OD;;;;;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
CONSULTA ODONTOLOGICA INICIAL;;;OD;;;;;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
